Top_L Top_R Bottom Mean_overlap
B G G 0
W B B 0
P P O 0
O W W 0
G O P 0
W W G 0.03
W P P 0.035
P G B 0.031
O O O 0.035
P B W 0.038
W O W 0.047
P W P 0.049
O P B 0.046
W G O 0.052
O B G 0.056
G W B 0.059
P O G 0.07
O G P 0.074
G P G 0.072
G G W 0.089
G B O 0.101
B W O 0.109
B P W 0.155
B O B 0.25
B B P 0.5
W W W 0.006
W P O 0.006
W W P 0.007
W O G 0.007
W P B 0.007
P W W 0.008
W G P 0.008
P W O 0.008
W O B 0.008
P P G 0.008
W B W 0.008
P O P 0.009
W G G 0.009
P W B 0.009
W B O 0.009
P P W 0.009
O W P 0.009
P O O 0.009
W G B 0.009
P P P 0.01
W B G 0.01
O W O 0.01
P G W 0.01
O P W 0.01
P O B 0.01
O W G 0.01
W B P 0.01
P G O 0.011
O P P 0.011
W W B 0.011
O O W 0.011
P G G 0.011
W P G 0.011
P B O 0.011
O W B 0.011
W O P 0.011
O P O 0.011
W G W 0.012
O O G 0.012
P B P 0.012
O O B 0.012
G W W 0.013
P B G 0.013
O G O 0.013
P P B 0.013
G W P 0.013
O G W 0.013
W O O 0.014
P B B 0.014
O P G 0.014
G W O 0.014
G P W 0.014
O O P 0.015
O G G 0.015
G W G 0.015
G P P 0.015
O G B 0.016
O B W 0.016
G P O 0.016
G O W 0.017
W W O 0.017
G P B 0.017
O B P 0.018
G O O 0.018
G O G 0.019
P G P 0.019
G O B 0.02
W P W 0.02
G G P 0.02
O B O 0.021
P W G 0.021
O B B 0.022
G G O 0.021
G G G 0.022
B W W 0.023
G G B 0.025
G B W 0.025
B W P 0.025
B W G 0.027
G B P 0.029
B W B 0.029
B P P 0.031
B P O 0.033
P O W 0.035
B P G 0.036
G B G 0.039
B P B 0.04
B O W 0.042
B O P 0.048
G B B 0.053
B O O 0.052
B O G 0.06
B G W 0.065
B G P 0.078
B G O 0.091
B G B 0.112
B B W 0.137
B B O 0.187
B B G 0.287
B B B 0.581
